File,HR,rMSSD,SDNN,pNN50
2022-06-07 09-15-58,75.9961556,43.12574604,50.05142717,30.1369863
2022-06-07 09-51-55,88.32211475,219.2424258,165.5955431,68.23529412
2022-06-07 10-03-36,65.42975624,195.5285059,141.386973,53.22580645
2022-06-07 11-04-55,56.3820273,153.7292219,121.68551,83.33333333
2022-06-07 11-22-35,89.28881054,491.1536924,338.7619186,70.93023256
2022-06-14 09-31-19,54.33257751,88.40572142,63.50657527,51.92307692
2022-06-14 09-42-01,70.55633778,59.64571504,56.98455158,52.94117647
2022-06-14 11-07-24,74.16303121,209.0473259,153.6433742,87.32394366
2022-06-14 11-55-02,66.42325279,68.68539469,53.45303382,9.523809524
2022-06-14 12-55-43,57.08318257,254.2850783,196.7965488,87.27272727
